,0,1,2,3,4,5,6,7,8,9,10,11
429,428,HS:43012, St. Michael's H S S  Kadinamkulam ,Kazhakuttom,Thiruvananthapuram(P),"Attingal *
",Chirayinkeezhu,Aided,  5 - 12,04712428668 ,  ,Location map
430,429,HS:43013, Govt. Boys H. S. S. Kanniakulangara ,Nedumangad,Thiruvananthapuram(P),"Attingal *
",Nedumangad,Government,  5 - 10,04722832200 ,  ,Location map
431,430,HS:43014, Govt. Girls H. S. S. Kanniakulangara ,Vamanapuram,Thiruvananthapuram(P),"Attingal *
",Nedumangad,Government,  5 - 12,04722832346 ,  ,Location map
432,431,HS:43015," GOVT. H S S, NEDUVELI, KONCHIRA,  VEMBAYAM ",Nedumangad,Thiruvananthapuram(P),"Attingal *
",Nedumangad,Government,  8 - 12,04722832016 ,  ,Location map
433,432,HS:43016, Lourd Mount H. S. Vattappara ,Nedumangad,Thiruvananthapuram(P),"Attingal *
",Nedumangad,Unaided Recognised,  1 - 12,04722585034 ,  ,Not Available
434,433,HS:43017, Govt. H. S. S. AYIROORPPARA ,Kazhakuttom,Thiruvananthapuram(P),"Attingal *
",Nedumangad,Government,  1 - 12,04712419645 ,  ,Location map
435,434,HS:43018, L. V. H. S. Pothencode ,Kazhakuttom,Thiruvananthapuram(P),"Attingal *
",Nedumangad,Aided,  8 - 10,04712419620 ,  ,Location map
436,435,HS:43019, M. V. H. S. S Thundathil ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Kazhakkoottam,Aided,  5 - 12,04712713335 ,  ,Location map
437,436,HS:43020, S. N. V. H. S. Chenkottukonam ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Kazhakkoottam,Unaided Recognised,  1 -10,04712713420 ,  ,Not Available
438,437,HS:43021, Jyothi Nilayam H. S. S. St. Andrews ,Kazhakuttom,Thiruvananthapuram(P),"Attingal *
",Chirayinkeezhu,Unaided Recognised,  5 - 12,04712704296 ,  ,Not Available
439,438,HS:43022, S. N. G. H. S. Chempazhanthy ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Kazhakkoottam,Aided,  5 - 12,04712591425 ,  ,Location map
440,439,HS:43024, Govt. H. S. S. Kulathoor ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Kazhakkoottam,Government,  5 - 12,04712418810 ,  ,Location map
441,440,HS:43025, Holy Trinity Eng. Medium H. S. Kattela ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Thiruvananthapuram,Unaided Recognised,  1 - 12,04712598279 ,  ,Not Available
442,441,HS:43026, Govt. H. S. Sreekariam ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Kazhakkoottam,Government,  1 -10,04712591194 ,  ,Location map
443,442,HS:43027, St. John`s Model H. S. S. Nalanchira ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Kazhakkoottam,Aided,  8 - 12,2530376 ,  ,Location map
444,443,HS:43028, Sarvodaya Vidyalaya Nalanchira ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Vattiyoorkavu,Unaided Recognised,  8 - 10,04712530831 ,  ,Not Available
445,444,HS:43029, G. H. S. Mannanthala ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Kazhakkoottam,Government,  1 -10,04715241819 ,  ,Location map
446,445,HS:43030, St. Thomas H. S. S. Mukkolackal ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Vattiyoorkavu,Unaided Recognised,  5 - 12,2511110 ,  ,Not Available
447,446,HS:43031, St. Goretti's Girls H. S. S. Nalanchira ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Vattiyoorkavu,Aided,  5 - 10,04712532099 ,  ,Location map
448,447,HS:43032, Govt. H. S. Kattachakonam ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Kazhakkoottam,Government,  1 -10,04712530710 ,  ,Location map
449,448,HS:43033, Govt. H. S. S. Medical College ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Kazhakkoottam,Government,  8 - 12,04712443239 ,  ,Location map
450,449,HS:43034, St. Mary`s H. S. S. Pattom ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Vattiyoorkavu,Aided,  5 - 12,04712447395 ,  ,Location map
451,450,HS:43035, Govt. Model Girls H. S. S Pattom ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Vattiyoorkavu,Government,  1 - 12,04712553678 ,  ,Location map
452,451,HS:43036, Govt City V. and H. S. S. P. M. G ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Vattiyoorkavu,Government,  8 - 12,04712303397 ,  ,Location map
453,452,HS:43037, Govt. H. S. Katchani ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Vattiyoorkavu,Government,  1 -10,2369391 ,  ,Location map
454,453,HS:43038, Govt. V And H S S Vattiyoorkave ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Vattiyoorkavu,Government,  5 - 12,04712360524 ,  ,Location map
455,454,HS:43039, P. S. N. M. Govt. H. S. S. Peroorkada ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Vattiyoorkavu,Government,  1 - 12,04712436025 ,  ,Location map
456,455,HS:43040, G. G. H. S. S. Peroorkada ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Vattiyoorkavu,Government,  5 - 12,04712438219 ,  ,Location map
457,456,HS:43041, Concordia L. H. S. S. Peroorkada ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Thiruvananthapuram,Aided,  8 - 12,2438259 ,  ,Location map
458,457,HS:43042, Salvation Army H. S. S. Kawdiar ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Vattiyoorkavu,Aided,  5 - 12,04712315488 ,  ,Location map
459,458,HS:43043, Christ Nagar E. H. S. S. ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Vattiyoorkavu,Unaided Recognised,  5 - 12,2318485 ,  ,Not Available
460,459,HS:43044, Nirmala Bhavan Girls H. S. S. ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Vattiyoorkavu,Unaided Recognised,  1 - 12,04712317772 ,  ,Not Available
461,460,HS:43045, R. K. D. N. S. S. H. S. Sasthamangalam ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Vattiyoorkavu,Aided,  5 - 12,04712724374 ,  ,Location map
462,461,HS:43046, Shree Vidyadhi Raja Vidya Mandir Vellayambalam  ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Thiruvananthapuram,Unaided Recognised,  1 -10,04712729286 ,  ,Not Available
463,462,HS:43047, St. Joseph`s H. S. S. Thiruvananthapuram ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Thiruvananthapuram,Aided,  5 - 12,04712471720 ,  ,Location map
464,463,HS:43048, Holy Angel`s Convent H. S. ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Thiruvananthapuram,Unaided Recognised,  1 - 12,04712476166 ,  ,Not Available
465,464,HS:43050, Govt. Girls V. H. S. S. Pettah ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Thiruvananthapuram,Government,  5 - 12,04712479791 ,  ,Location map
466,465,HS:43051, Govt. H. S. Vanchiyoor ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Thiruvananthapuram,Government,  1 -10,04712460179 ,  ,Location map
467,466,HS:43052, Govt. H. S. S. Pettah ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Thiruvananthapuram,Government,  5 - 12,04712474081 ,  ,Location map
468,467,HS:43053, G. V. Raja Sports School Mylam ,Nedumangad,Thiruvananthapuram(P),"Attingal *
",Aruvikkara,Government,  6-12,04722889100 ,  ,Location map
469,468,HS:43054, St. Mary`s H. S. S. Vettukad ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Thiruvananthapuram,Aided,  5 - 12,04712500935 ,  ,Location map
470,469,HS:43055, N. S. S. H. S. S. Palkulangara ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Thiruvananthapuram,Aided,  5 - 12,04712450381 ,  ,Location map
471,470,HS:43056, Govt. H. S. Karikkakom ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Kazhakkoottam,Government,  1 -10,04712502444 ,  ,Location map
472,471,HS:43057, Fort Boys H. S. ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Thiruvananthapuram,Aided,  5 - 10,04712469697 ,  ,Location map
473,472,HS:43059, Fort Girls Mission H. S. Fort ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Thiruvananthapuram,Aided,  5 - 10,04712451160 ,  ,Location map
474,473,HS:43060, Govt. H. S. Sanskrit Fort ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Thiruvananthapuram,Government,  5 - 10,04712479249 ,  ,Location map
475,474,HS:43061, St. Antony`s H. S. S. Valiyathura ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Thiruvananthapuram,Aided,  8 - 12,2500635 ,  ,Location map
476,475,HS:43062, Haji C. H. M. K. M. H. S. Vallakadavu ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Thiruvananthapuram,Aided,  8 - 12,04712501040 ,  ,Location map
477,476,HS:43063, Govt. Regional Fisheries Techenical H. S. Valiyathura ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Thiruvananthapuram,Government,  8 - 12,04712502813 ,  ,Location map
478,477,HS:43064," St. Roch's High School, Thope ",,Thiruvananthapuram(C),"Thiruvananthapuram
",Thiruvananthapuram,Aided,  5 - 10,2501650 ,  ,Location map
479,478,HS:43065, St. Philomina`s Girls H. S. Poonthura ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Thiruvananthapuram,Aided,  1 -10,04712381285 ,  ,Location map
480,479,HS:43066, St. Thomas H. S. S. Poonthura ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Thiruvananthapuram,Aided,  1 - 12,04712381183 ,  ,Location map
481,480,HS:43067, B. N. V. V. And H. S. S. Thiruvallom ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Nemom,Aided,  5 - 12,04712381675 ,  ,Location map
482,481,HS:43068, V. H. S. S. For Girls Thiruvallom ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Nemom,Aided,  5 - 12,2383275 ,  ,Location map
483,482,HS:43069, Govt. H. S. Vazhamuttom ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Nemom,Government,  1 -10,2481776 ,  ,Location map
484,483,HS:43070, Govt. H. S. S. Kamaleswaram ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Nemom,Government,  1 - 12,04712458806 ,  ,Location map
485,484,HS:43071, Beema Mahin E. M. H. S. Beemapalli ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Thiruvananthapuram,Unaided Recognised,  8 - 12,04712500075 ,  ,Not Available
486,485,HS:43072, Govt. V. And H. S. S. for Girls Manacuad ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Thiruvananthapuram,Government,  5 - 12,04712471459 ,  ,Location map
487,486,HS:43073, Govt. H. S. Kalady ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Nemom,Government,  1 -10,04712344107 ,  ,Location map
488,487,HS:43074, Govt. B H S S Karamana ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Nemom,Government,  5 - 12,04712343529 ,  ,Location map
489,488,HS:43075, Govt. H. S. Pappanamcode ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Nemom,Government,  5 - 10,04712494307 ,  ,Location map
490,489,HS:43076, Govt. G. H. S. S. Karamana ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Nemom,Government,  5 - 12,2343571 ,  ,Location map
491,490,HS:43077, M. M. R. H. S. S. Neeramankara ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Thiruvananthapuram,Unaided Recognised,  1 - 12,04712490969 ,  ,Not Available
492,491,HS:43078, Govt. H. S. S. Punnamoodu ,Nemom,Thiruvananthapuram(P),"Thiruvananthapuram
",Kovalam,Government,  1 - 12,04712400486 ,  ,Location map
493,492,HS:43079, Govt. High School Chalai ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Nemom,Government,  5 - 10,04712456618 ,  ,Location map
494,493,HS:43080, Govt. Model H. S. S. For Boys Chalai ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Thiruvananthapuram,Government,  5 - 12,04712475072 ,  ,Location map
495,494,HS:43081, Govt. Tamil V. And H. S. S. Chalai ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Thiruvananthapuram,Government,  5 - 12,04712476772 ,  ,Location map
496,495,HS:43082, Govt. Central H. S. Attakulangara ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Thiruvananthapuram,Government,  5 - 10,04712474418 ,  ,Location map
497,496,HS:43083, S. M. V. Model H. S. S. Thiruvananthapuram ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Thiruvananthapuram,Government,  5 - 12,04712330395 ,  ,Location map
498,497,HS:43084, Govt. Model B. H. S. S. Thycaud ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Thiruvananthapuram,Government,  5 - 12,04712323641 ,  ,Location map
499,498,HS:43085, Govt. Girls H. S. S. Cottonhill ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Thiruvananthapuram,Government,  5 - 12,04712729591 ,  ,Location map
500,499,HS:43086, Carmel E. M. Girls H. S. S. Vazhuthacaud ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Thiruvananthapuram,Unaided Recognised,  1 - 12,2337025 ,  ,Not Available
501,500,HS:43087, A M H S S Thirumala ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Nemom,Aided,  5 - 12,04712352179 ,  ,Location map
502,501,HS:43088, C. M. G. H. S. Poojappura ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Nemom,Aided,  5 - 12,04712351132 ,  ,Location map
503,502,HS:43089, Chinmaya Vidyalayam Vazhuthacaud ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Thiruvananthapuram,Unaided Recognised,  1 - 12,04712724136 ,  ,Not Available
504,503,HS:43090, Govt. High School Jagathy ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Thiruvananthapuram,Government,  1 -10,04712326498 ,  ,Location map
505,504,HS:43091," Dr.AMMRHSS for Girls, Kattela         ",,Thiruvananthapuram(C),"Thiruvananthapuram
",Kazhakkoottam,Government,  5 - 12,04712597900 ,  ,Location map
506,505,HS:43092, New Indian Model School Dubai UAE ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Thiruvananthapuram,Unaided Recognised,  1 - 12,042824313 ,  ,Not Available
507,506,HS:43093, The New Indian Model School Sharjah ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Thiruvananthapuram,Unaided Recognised,  1 - 12,065228035 ,  ,Not Available
508,507,HS:43094," New Indian H S S Ras Al Khaimah, U.A.E ",,Thiruvananthapuram(C),"Thiruvananthapuram
",Thiruvananthapuram,Unaided Recognised,  1 - 12,0097172283886 ,  ,Not Available
509,508,HS:43095, Gulf Model School Dubai U A E ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Thiruvananthapuram,Unaided Recognised,  1 - 12,042544222 ,  ,Not Available
510,509,HS:43096," The English School, Umm Al Quwain ",,Thiruvananthapuram(C),"Thiruvananthapuram
",Thiruvananthapuram,Unaided Recognised,  1 - 12,0097167649799 ,  ,Not Available
511,510,HS:43097, The Indian School Fujairah U A E ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Thiruvananthapuram,Unaided Recognised,  1 - 12,0097192223441 ,  ,Not Available
512,511,HS:43098, The Model School Abu Dhabi U A E ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Thiruvananthapuram,Unaided Recognised,  1 - 12,0097125527200 ,  ,Not Available
513,512,HS:43101, M E S Indian School Doha Qatar ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Thiruvananthapuram,Unaided Recognised,  8 - 12,0097444572888 ,  ,Not Available
514,513,HS:43102," New Indian Model School  Al Ain,  U A E ",,Thiruvananthapuram(C),"Thiruvananthapuram
",Thiruvananthapuram,Unaided Recognised,  1 - 12,97137811882 ,  ,Not Available
515,514,HS:43103, The New Indian School Umm Al Quwain  ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Thiruvananthapuram,Unaided Recognised,  1 -10,+97167666965 ,  ,Not Available
516,515,HS:43107, Cordova English Medium H. S. S. Ambalathara ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Thiruvananthapuram,Unaided Recognised,  1 - 12,04712383839 ,  ,Not Available
517,516,HS:43109, S A M Govt M R S S Vellayani ,Nemom,Thiruvananthapuram(P),"Thiruvananthapuram
",Kovalam,Government,  5 - 12,04712381601 ,  ,Location map
518,517,HS:43110, Moulana Azad H. S. Channankara ,Kazhakuttom,Thiruvananthapuram(P),"Attingal *
",Chirayinkeezhu,Unaided Recognised,  1 -10,2751594 ,  ,Not Available
519,518,HS:43111, N. S. S. H. S. S. Kesavadasapuram ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Vattiyoorkavu,Aided,  8 - 12,04712542298 ,  ,Location map
520,519,HS:43112, Mary Giri E. M. H. S. Kudappanakkunnu ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Vattiyoorkavu,Unaided Recognised,  8 - 10,04712732724 ,  ,Not Available
521,520,HS:43113, Thunchan Smaraka English Medium  H.S Ayranimuttom ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Nemom,Unaided Recognised,  1 -10,2457479 ,  ,Not Available
522,521,UP:43114, Govt. School For Blind Jagathy ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Thiruvananthapuram,Government,  1 - 7,2328184 ,  ,Not Available
523,522,LP:43116, Govt. T. T. I. Manacaud ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Thiruvananthapuram,Government,  1 - 4,04712473407 ,  ,Location map
524,523,LP:43117, St. Roch`s T. T. I. Thope ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Thiruvananthapuram,Aided,  1 - 4,04712505068 ,  ,Location map
525,524,HS:43137, MYSTICAL ROSE SCHOOL ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Thiruvananthapuram,Unaided Recognised,  1 -10,04712500457 ,  ,Not Available
526,525,HS:43138," CRD School,LMS Compound, Thiruvananthapuram ",,Thiruvananthapuram(C),"Thiruvananthapuram
",Vattiyoorkavu,Aided,  1 - 12,04712316724 ,  ,Not Available
527,526,LP:43201, Govt. L. P. S. Aramada ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Nemom,Government,  1 - 4,9497470313 ,  ,Location map
528,527,LP:43202, Govt. L. P. S. Tamil Chalai ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Thiruvananthapuram,Government,  1 - 4,8281937015 ,  ,Location map
529,528,LP:43203, Govt. L. P. S. Cotton Hill ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Thiruvananthapuram,Government,  1 - 4,04712721971 ,  ,Location map
530,529,LP:43204, Govt. H. S. L. P. S. Karamana ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Thiruvananthapuram,Government,  1 - 4,7356467271 ,  ,Location map
531,530,LP:43205, Govt. Model H. S. L. P. S. Thycaud ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Thiruvananthapuram,Government,  1 - 4,04712327657 ,  ,Location map
532,531,LP:43206, Govt. S. S. L. P. S. Karamana ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Nemom,Government,  1 - 4,9447698660 ,  ,Location map
533,532,LP:43207, Govt. W. L. P. S. Koliacode ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Nemom,Government,  1 - 4,9526344284 ,  ,Location map
534,533,LP:43208, Govt. L. P. S. Kunnapuzha ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Nemom,Government,  1 - 4,9288958838 ,  ,Location map
535,534,LP:43209, Govt. L. P. S. Mankad ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Nemom,Government,  1 - 4,9495409696 ,  ,Location map
536,535,LP:43210, Govt. L. P. S. Mudavanmukal ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Nemom,Government,  1 - 4,04712352211 ,  ,Location map
537,536,LP:43211, Govt. H. S. L. P. S. Papanamcode ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Nemom,Government,  1 - 4,9497759183 ,  ,Location map
538,537,LP:43212, Govt. L. P. S. Sasthamangalam ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Vattiyoorkavu,Government,  1 - 4,2316177 ,  ,Location map
539,538,LP:43213, Govt. L. P. S. Trivikramangalam ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Nemom,Government,  1 - 4,9495020204 ,  ,Location map
540,539,LP:43214, Govt. L. P. S. Thiruvallom ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Nemom,Government,  1 - 4,9495482874 ,  ,Location map
541,540,LP:43215, Govt. L. P. S. Thycadu ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Thiruvananthapuram,Government,  1 - 4,9495904071 ,  ,Location map
542,541,LP:43216, Govt. L. P. S. Valiasala ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Nemom,Government,  1 - 4,9497848248 ,  ,Location map
543,542,LP:43217, Govt. L. P. S. Valiathura ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Thiruvananthapuram,Government,  1 - 4,9048334658 ,  ,Location map
544,543,LP:43218, M. S. C. L. P. S. Ponnumangalam ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Nemom,Aided,  1 - 4,9388570731 ,  ,Location map
545,544,LP:43219, St. Antony`s L. P. S. Poozhikunnu ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Nemom,Aided,  1 - 4,940096143 ,  ,Location map
546,545,LP:43220, B. N. V. L. P. S. Punchakkari ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Nemom,Aided,  1 - 4,9526406444 ,  ,Not Available
547,546,LP:43221, M.S.C. L. P. S. Thrivikramangalam ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Nemom,Aided,  1 - 4,9446100828 ,  ,Not Available
548,547,LP:43222, S. A. L. P. S. Kakamoola ,Nemom,Thiruvananthapuram(P),"Thiruvananthapuram
",Kovalam,Aided,  1 - 4,9495628237 ,  ,Not Available
549,548,LP:43223, R. C. L. P. S. Kalliyil ,Nemom,Thiruvananthapuram(P),"Thiruvananthapuram
",Kovalam,Aided,  1 - 4,8921897289 ,  ,Location map
550,549,LP:43224, L. M. S. L. P. S. Kudumpanoor ,Nemom,Thiruvananthapuram(P),"Thiruvananthapuram
",Kovalam,Aided,  1 - 4,9495655767 ,  ,Location map
551,550,LP:43225, Holycross L. P. S. Palappoor ,Nemom,Thiruvananthapuram(P),"Thiruvananthapuram
",Kovalam,Aided,  1 - 4,9446039493 ,  ,Location map
552,551,LP:43226, M. S. C. L. P. S. Vellayani ,Nemom,Thiruvananthapuram(P),"Thiruvananthapuram
",Kovalam,Aided,  1 - 4,9447768908 ,  ,Location map
553,552,LP:43227, A. N. S. M. E. M. L. P. S Thiruvallom ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Nemom,Unaided Recognised,  1 - 4,9539384261 ,  ,Not Available
554,553,LP:43228, St. Antony`s L. P. S. Vallakadavu ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Thiruvananthapuram,Unaided Recognised,  1 - 4,04712506327 ,  ,Not Available
555,554,LP:43229, Roy Kintergaraden And L. P. S. Thirumala ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Nemom,Unaided Recognised,  1 - 4,04712351456 ,  ,Not Available
556,555,UP:43230, Tolstoy Memorial Public School Shanthivila ,Nemom,Thiruvananthapuram(P),"Thiruvananthapuram
",Kovalam,Unaided Recognised,  1 - 7,04712390876 ,  ,Not Available
557,556,LP:43231, Govt. L. P. S. Kanjirampara ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Vattiyoorkavu,Government,  1 - 5,9495629843 ,  ,Location map
558,557,LP:43232, Govt. L. P. S. Kuriyathi ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Thiruvananthapuram,Government,  1 - 5,9497759183 ,  ,Location map
559,558,LP:43233, Govt. L. P. S. Mettukkada ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Thiruvananthapuram,Government,  1 - 5,04712323433 ,  ,Location map
560,,,,,,,,,,,,
